distance_m,x_m,y_m,terrain_z_m,altitude_z_m,agl_m
0.000000,-9000.000000,-4800.000000,7.200000,37.200000,30.000000
25.000000,-8975.000000,-4800.000000,7.300000,37.300000,30.000000
50.000000,-8950.000000,-4800.000000,7.400000,37.400000,30.000000
75.000000,-8925.000000,-4800.000000,7.500000,37.500000,30.000000
100.000000,-8900.000000,-4800.000000,7.600000,37.600000,30.000000
125.000000,-8875.000000,-4800.000000,7.700000,37.700000,30.000000
150.000000,-8850.000000,-4800.000000,7.800000,37.800000,30.000000
175.000000,-8825.000000,-4800.000000,7.900000,37.900000,30.000000
200.000000,-8800.000000,-4800.000000,8.000000,38.000000,30.000000
225.000000,-8775.000000,-4800.000000,8.100000,38.100000,30.000000
250.000000,-8750.000000,-4800.000000,8.200000,38.200000,30.000000
275.000000,-8725.000000,-4800.000000,8.300000,38.300000,30.000000
300.000000,-8700.000000,-4800.000000,8.400000,38.400000,30.000000
325.000000,-8675.000000,-4800.000000,8.500000,38.500000,30.000000
350.000000,-8650.000000,-4800.000000,8.600000,38.600000,30.000000
375.000000,-8625.000000,-4800.000000,8.700000,38.700000,30.000000
400.000000,-8600.000000,-4800.000000,8.800000,38.800000,30.000000
425.000000,-8575.000000,-4800.000000,8.900000,38.900000,30.000000
450.000000,-8550.000000,-4800.000000,9.000000,39.000000,30.000000
475.000000,-8525.000000,-4800.000000,9.100000,39.100000,30.000000
500.000000,-8500.000000,-4800.000000,9.200000,39.200000,30.000000
525.000000,-8475.000000,-4800.000000,9.300000,39.300000,30.000000
550.000000,-8450.000000,-4800.000000,9.400000,39.400000,30.000000
575.000000,-8425.000000,-4800.000000,9.500000,39.500000,30.000000
600.000000,-8400.000000,-4800.000000,9.600000,39.600000,30.000000
625.000000,-8375.000000,-4800.000000,9.700000,39.700000,30.000000
650.000000,-8350.000000,-4800.000000,9.800000,39.800000,30.000000
675.000000,-8325.000000,-4800.000000,9.900000,39.900000,30.000000
700.000000,-8300.000000,-4800.000000,10.000000,40.000000,30.000000
725.000000,-8275.000000,-4800.000000,10.100000,40.100000,30.000000
750.000000,-8250.000000,-4800.000000,10.200000,40.200000,30.000000
775.000000,-8225.000000,-4800.000000,10.300000,40.300000,30.000000
800.000000,-8200.000000,-4800.000000,10.400000,40.400000,30.000000
825.000000,-8175.000000,-4800.000000,10.500000,40.500000,30.000000
850.000000,-8150.000000,-4800.000000,10.600000,40.600000,30.000000
875.000000,-8125.000000,-4800.000000,10.700000,40.700000,30.000000
900.000000,-8100.000000,-4800.000000,10.800000,40.800000,30.000000
925.000000,-8075.000000,-4800.000000,10.900000,40.900000,30.000000
950.000000,-8050.000000,-4800.000000,11.000000,41.000000,30.000000
975.000000,-8025.000000,-4800.000000,11.100000,41.100000,30.000000
1000.000000,-8000.000000,-4800.000000,11.200000,41.200000,30.000000
